"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Cars API","0","1","Each car must have a specified make and model","0"
"0","","0","VIN API","1","0","VIN endpoint needs valid api key","0"
"0","","0","VIN API","1","0","VIN endpoint requieres vin param","0"
"0","","0","Cars API","1","0","Cars endpoint needs valid api key","0"
"0","","0","VIN API","2","0","VIN param must have 17 characters","0"
"0","","0","VIN API","4","0","VIN endpoint returns data in the same structure as sample VINs","0"
"0","","0","Cars API","3","0","Electric cars must not include cylinder information","0"
"0","","0","VIN API","1","0","VIN endpoint needs authentication api key","0"
"0","","0","Cars API","1","0","All Toyotas from 2023 must have a value for the displacement field","0"
"0","","0","Cars API","1","0","Cars endpoint needs authentication api key","0"
